N,K,solver,status,ret,risk,obj,runtime
50,5,CP-SAT,feasible,0.06988618206440261,0.02442805565946735,525411670.0,10.009202332000001
50,5,MILP-SCIP,optimal,0.06776515512821205,0.023981234545851784,0.05213844930372446,0.557506
50,5,Greedy,heuristic,0.09232764459507958,0.0323783570159009,0.06956414048442494,0.10464881399821024
50,5,GA,heuristic,0.07112084176338195,0.0275760994782844,0.06675965562804005,0.8824682160011434
100,10,CP-SAT,feasible,0.186799856656535,0.037690920589346255,23046490.0,10.005995893000001
100,10,MILP-SCIP,optimal,0.16348125733261937,0.02927591291015811,-0.01710633235602078,1.216617
100,10,Greedy,heuristic,0.18735876432628482,0.03667314173693724,-0.003993055641598603,0.34427934299674234
100,10,GA,heuristic,0.1873587643262848,0.036673141736937226,-0.0039930556415986584,0.7002962920014397
200,20,CP-SAT,skipped,,,,
200,20,MILP-SCIP,timelimit,0.17276784769488202,0.026778160403128613,-0.03888182788156927,10.149378
200,20,Greedy,heuristic,0.14407888418786463,0.02473255440380802,-0.020416112168824538,2.423218834999716
200,20,GA,heuristic,0.13454328810272992,0.024229742058089455,-0.013394577812282649,1.0771956120006507
